,solar_kw,load_kw,price_per_kwh
2024-05-15 00:00:00,0.0,68.99721595759762,0.12
2024-05-15 00:15:00,0.0,78.28534465806135,0.12
2024-05-15 00:30:00,0.0,71.95188410547266,0.12
2024-05-15 00:45:00,0.0,17.509803498831594,0.12
2024-05-15 01:00:00,0.0,29.69753613773432,0.12
2024-05-15 01:15:00,0.0,64.69365318919213,0.12
2024-05-15 01:30:00,0.0,75.1812265789612,0.12
2024-05-15 01:45:00,0.0,32.33919475710723,0.12
2024-05-15 02:00:00,0.0,44.4948839014737,0.12
2024-05-15 02:15:00,0.0,39.74721154058367,0.12
2024-05-15 02:30:00,0.0,9.851758410442367,0.12
2024-05-15 02:45:00,0.0,59.865955334414686,0.12
2024-05-15 03:00:00,0.0,66.38929191455898,0.12
2024-05-15 03:15:00,0.0,33.30771820523143,0.12
2024-05-15 03:30:00,0.0,70.01991532110013,0.12
2024-05-15 03:45:00,0.0,30.780318722472522,0.12
2024-05-15 04:00:00,0.0,71.89780257009863,0.12
2024-05-15 04:15:00,0.0,47.383731725187296,0.12
2024-05-15 04:30:00,0.0,85.02382198238084,0.12
2024-05-15 04:45:00,0.0,55.01326764075226,0.12
2024-05-15 05:00:00,0.0,24.58757499694742,0.12
2024-05-15 05:15:00,0.0,79.67118077560067,0.12
2024-05-15 05:30:00,0.0,74.51032934657258,0.12
2024-05-15 05:45:00,0.0,16.991461004845984,0.12
2024-05-15 06:00:00,0.47274827132959696,13.850792308858026,0.12
2024-05-15 06:15:00,3.0819629454229287,20.28142816797444,0.12
2024-05-15 06:30:00,7.662708843679552,80.3156533831772,0.12
2024-05-15 06:45:00,14.364154009007093,35.728028539905196,0.12
2024-05-15 07:00:00,20.746414269176597,52.13556409359559,0.12
2024-05-15 07:15:00,22.361279065553695,61.66827439860182,0.12
2024-05-15 07:30:00,21.887141949486676,72.69519947952142,0.12
2024-05-15 07:45:00,22.276822291746946,79.44314300342577,0.12
2024-05-15 08:00:00,32.53259039402416,55.13107295544752,0.12
2024-05-15 08:15:00,51.149684992091984,42.797614483300485,0.12
2024-05-15 08:30:00,56.26399747694176,26.96352472187007,0.12
2024-05-15 08:45:00,46.417081767679086,60.72632868356771,0.12
2024-05-15 09:00:00,83.09365732974673,56.428146409897,0.12
2024-05-15 09:15:00,49.58858795097482,34.00569838423746,0.12
2024-05-15 09:30:00,38.3970780829465,49.2570397469321,0.12
2024-05-15 09:45:00,80.97171556870966,70.80567863706197,0.12
2024-05-15 10:00:00,91.8382802536816,63.14221119723643,0.12
2024-05-15 10:15:00,79.64026019362326,51.278777027622404,0.12
2024-05-15 10:30:00,64.78118954168123,31.640329233676802,0.12
2024-05-15 10:45:00,56.76255140596759,65.29336150036521,0.12
2024-05-15 11:00:00,97.22827539856803,62.972023228555805,0.12
2024-05-15 11:15:00,80.43541190816964,47.74880689232112,0.12
2024-05-15 11:30:00,77.98068769303858,29.368788456402246,0.12
2024-05-15 11:45:00,84.131985537781,24.270104375245815,0.12
2024-05-15 12:00:00,78.18768848068751,39.06925267944526,0.12
2024-05-15 12:15:00,105.15703041082112,86.56024153309653,0.12
2024-05-15 12:30:00,99.29382105711856,75.70406910626362,0.12
2024-05-15 12:45:00,105.08168326510481,83.84218945125062,0.12
2024-05-15 13:00:00,65.15186270344573,79.33651111460507,0.12
2024-05-15 13:15:00,75.13631300490573,50.78397426006853,0.12
2024-05-15 13:30:00,88.09866434365247,54.07746860630059,0.12
2024-05-15 13:45:00,85.78904915512695,23.319641895543505,0.12
2024-05-15 14:00:00,111.61455238873087,68.45232107919155,0.12
2024-05-15 14:15:00,130.36823955004064,46.64978666698447,0.12
2024-05-15 14:30:00,71.7048524675111,23.119650641660755,0.12
2024-05-15 14:45:00,80.64329976567952,17.558466062041074,0.12
2024-05-15 15:00:00,64.53067217375423,68.79238480158281,0.12
2024-05-15 15:15:00,71.88208535553214,51.85425865350206,0.12
2024-05-15 15:30:00,83.7697655216903,10.230771834403772,0.12
2024-05-15 15:45:00,53.964653778327474,84.08683600556233,0.12
2024-05-15 16:00:00,54.754208293790995,62.65633816780385,0.12
2024-05-15 16:15:00,49.92327297502547,13.078431003079377,0.12
2024-05-15 16:30:00,52.22471637157026,36.179041530249016,0.12
2024-05-15 16:45:00,39.02678089570038,71.22136232396234,0.12
2024-05-15 17:00:00,25.045563111962075,14.36386793095916,0.12
2024-05-15 17:15:00,24.947662904798598,72.98487755710158,0.12
2024-05-15 17:30:00,13.17105159723637,53.26166995079007,0.12
2024-05-15 17:45:00,5.715863238706131,75.49576177845103,0.12
2024-05-15 18:00:00,3.264057093627423,82.93566723789414,0.5
2024-05-15 18:15:00,1.1035161640172169,77.17590953356591,0.5
2024-05-15 18:30:00,0.0,16.90616250846363,0.5
2024-05-15 18:45:00,0.0,49.77794532356076,0.5
2024-05-15 19:00:00,0.0,38.24667421323331,0.5
2024-05-15 19:15:00,0.0,52.260190125531835,0.5
2024-05-15 19:30:00,0.0,93.49693141630235,0.5
2024-05-15 19:45:00,0.0,20.72532760114977,0.5
2024-05-15 20:00:00,0.0,81.89540957471534,0.5
2024-05-15 20:15:00,0.0,93.23924607808324,0.5
2024-05-15 20:30:00,0.0,97.72045974277307,0.5
2024-05-15 20:45:00,0.0,75.98458062404141,0.5
2024-05-15 21:00:00,0.0,47.87774423887698,0.5
2024-05-15 21:15:00,0.0,25.544500825570143,0.5
2024-05-15 21:30:00,0.0,63.11305649261357,0.5
2024-05-15 21:45:00,0.0,62.27696287258024,0.5
2024-05-15 22:00:00,0.0,36.52505464654301,0.5
2024-05-15 22:15:00,0.0,61.655484912415645,0.5
2024-05-15 22:30:00,0.0,19.58742934950667,0.5
2024-05-15 22:45:00,0.0,65.90691080482647,0.5
2024-05-15 23:00:00,0.0,86.63142923975717,0.12
2024-05-15 23:15:00,0.0,52.21935748380076,0.12
2024-05-15 23:30:00,0.0,73.42115151061117,0.12
2024-05-15 23:45:00,0.0,63.83083460227055,0.12
2024-05-16 00:00:00,0.0,9.684464503008662,0.12
2024-05-16 00:15:00,0.0,19.464014005724938,0.12
2024-05-16 00:30:00,0.0,75.50921545266004,0.12
2024-05-16 00:45:00,0.0,13.078521524599735,0.12
2024-05-16 01:00:00,0.0,92.31493154428173,0.12
2024-05-16 01:15:00,0.0,90.01399529133425,0.12
